10226;DSP4701;44
10226;DSPPRA4;9
10455;DSP4701;2
10455;DSPPRA4;32
10588;DSP4701;56
10588;DSPPRA4;69
10879;DSP4701;86
10879;DSPPRA4;5
11293;DSP4701;41
11293;DSPPRA4;28
11432;DSP4701;0
11432;DSPPRA4;30
11444;DSP4701;28
11444;DSPPRA4;52
12924;DSP4701;29
12924;DSPPRA4;33
13426;DSP4701;49
13426;DSPPRA4;17
14370;DSP4701;71
14370;DSPPRA4;33
14974;DSP4701;36
14974;DSPPRA4;42
15606;DSP4701;85
15606;DSPPRA4;36
15893;DSP4701;69
15893;DSPPRA4;28
16342;DSP4701;22
16342;DSPPRA4;89
17484;DSP4701;90
17484;DSPPRA4;99
17609;DSP4701;87
17609;DSPPRA4;88
17929;DSP4701;56
17929;DSPPRA4;68
17974;DSP4701;91
17974;DSPPRA4;2
19325;DSP4701;64
19325;DSPPRA4;73
20094;DSP4701;87
20094;DSPPRA4;84
20621;DSP4701;37
20621;DSPPRA4;96
21399;DSP4701;95
21399;DSPPRA4;9
21567;DSP4701;48
21567;DSPPRA4;89
22167;DSP4701;20
22167;DSPPRA4;51
23022;DSP4701;21
23022;DSPPRA4;26
